**************************** COBRA-TF output file ****************************
**************************** heat_balance.out       ****************************
 
 Global heat balance
 ===================
 
No. of   | Total time |Power supply | Inlet power| Outlet power|Power stored |Power stored| Relation      | Deviation of
time step|            |(inner clad. | of coolant | of coolant  |(rod clad. + | in coolant | stored power  | heat balance
(nstep)  | (timet)    |+direct vol.)|            |             |unheat.cond.)|            | / power supply|
   [-]   |   [s]      |    [kW]     |    [kW]    |    [kW]     |    [kW]     |    [kW]    |               |
===========================================================================================================================
  1530        5.0619  4187548.0000 20200092.0000 24230090.0000   511893.6875  -353306.9688         3.79 %         0.00 %
  1540        5.0719  4178723.5000 20200092.0000 24171752.0000   511169.4062  -303972.9688         4.96 %         0.00 %
  1550        5.0819  4169986.5000 20200092.0000 24121688.0000   510401.3438  -260201.5312         6.00 %        -0.01 %
  1560        5.0919  4162480.0000 20200092.0000 24066320.0000   510163.8438  -213324.8906         7.13 %         0.00 %
  1570        5.1019  4154528.2500 20200092.0000 24018326.0000   509653.9688  -172568.1875         8.11 %         0.00 %
  1580        5.1119  4146762.7500 20200092.0000 23962332.0000   509727.2500  -123877.2031         9.30 %        -0.01 %
  1590        5.1219  4139432.7500 20200092.0000 23903398.0000   509261.1250   -73632.1250        10.52 %         0.00 %
  1600        5.1319  4131867.2500 20200092.0000 23848964.0000   508841.2188   -26040.5039        11.68 %         0.00 %
  1610        5.1419  4124509.0000 20200092.0000 23803642.0000   508341.6250    14363.1680        12.67 %        -0.01 %
  1620        5.1519  4118323.2500 20200092.0000 23747688.0000   508887.4062    64363.9219        13.92 %        -0.01 %
  1630        5.1619  4111523.7500 20200092.0000 23708070.0000   508208.6875    95237.6172        14.68 %         0.00 %
  1640        5.1719  4104326.0000 20200092.0000 23659454.0000   507691.0312   137487.0938        15.72 %         0.00 %
  1650        5.1819  4098124.0000 20200092.0000 23620086.0000   508155.0625   172334.2656        16.60 %        -0.01 %
  1660        5.1919  4091999.5000 20200092.0000 23572008.0000   508472.7812   210842.0938        17.58 %         0.00 %
  1670        5.2019  4085105.7500 20200092.0000 23533148.0000   507325.2812   245375.9219        18.43 %         0.00 %
  1680        5.2119  4079103.5000 20200092.0000 23497770.0000   507505.9375   276104.8438        19.21 %        -0.01 %
  1690        5.2219  4072873.7500 20200092.0000 23449592.0000   507949.3438   314170.9062        20.19 %         0.01 %
  1700        5.2319  4066805.0000 20200092.0000 23408536.0000   507476.5625   351250.7812        21.12 %         0.00 %
  1710        5.2419  4061900.2500 20200092.0000 23376998.0000   507822.5625   377344.0312        21.79 %         0.00 %
  1720        5.2519  4055412.7500 20200092.0000 23353050.0000   507206.3125   397333.0000        22.30 %        -0.01 %
  1730        5.2619  4049866.5000 20200092.0000 23319674.0000   507454.6875   423255.1562        22.98 %         0.00 %
  1740        5.2719  4044483.5000 20200092.0000 23296656.0000   506837.5312   442374.2188        23.47 %        -0.01 %
  1750        5.2819  4038187.2500 20200092.0000 23278328.0000   506422.7188   455168.0938        23.81 %        -0.01 %
  1760        5.2919  4032547.0000 20200092.0000 23252130.0000   506147.0000   476652.5312        24.37 %        -0.01 %
  1770        5.3019  4027525.7500 20200092.0000 23235906.0000   506400.7812   486895.0938        24.66 %        -0.01 %
  1780        5.3119  4021893.0000 20200092.0000 23207424.0000   506346.0312   507215.9688        25.20 %         0.00 %
  1790        5.3219  4016496.7500 20200092.0000 23195378.0000   505780.7188   516524.0938        25.45 %         0.00 %
  1800        5.3319  4011427.7500 20200092.0000 23182712.0000   505416.8750   524032.6875        25.66 %         0.00 %
  1810        5.3419  4006316.0000 20200092.0000 23159018.0000   505872.1875   540968.8750        26.13 %         0.00 %
  1820        5.3519  4001232.0000 20200092.0000 23152410.0000   505860.6250   542687.6875        26.21 %         0.00 %
  1830        5.3619  3996233.5000 20200092.0000 23141560.0000   504893.3750   551117.6875        26.43 %        -0.01 %
  1840        5.3719  3991401.7500 20200092.0000 23138852.0000   504723.0312   549033.6875        26.40 %         0.00 %
  1850        5.3819  3987383.7500 20200092.0000 23122758.0000   505837.8125   559445.4375        26.72 %         0.00 %
  1860        5.3919  3982410.7500 20200092.0000 23121050.0000   505188.9062   556116.6875        26.65 %         0.00 %
  1870        5.4019  3977538.7500 20200092.0000 23113542.0000   504812.6562   560652.7500        26.79 %        -0.01 %
  1880        5.4119  3972245.2500 20200092.0000 23115398.0000   503700.9062   558975.3750        26.75 %        -0.02 %
  1890        5.4219  3967281.5000 20200092.0000 23109042.0000   503399.9375   559244.6250        26.79 %        -0.02 %
  1900        5.4319  3963445.7500 20200092.0000 23110372.0000   503792.5938   550114.9375        26.59 %         0.00 %
  1910        5.4419  3958511.5000 20200092.0000 23110348.0000   503631.1250   546952.6250        26.54 %        -0.01 %
  1920        5.4519  3954956.7500 20200092.0000 23103184.0000   504008.5000   549753.1250        26.64 %        -0.01 %
  1930        5.4619  3950119.5000 20200092.0000 23096230.0000   503420.7812   550528.3125        26.68 %         0.00 %
  1940        5.4719  3945153.7500 20200092.0000 23103960.0000   502136.3438   542907.5625        26.49 %        -0.02 %
  1950        5.4819  3941387.0000 20200092.0000 23109502.0000   502164.4062   530891.7500        26.21 %         0.00 %
  1960        5.4919  3937444.2500 20200092.0000 23107654.0000   502709.3438   527093.0000        26.15 %         0.00 %
